24/11/2021 7:32:51 PM|Quizzame|ROUND 1|Domanda 1| ID:17158  |Corretta:C  |Keypad:3 |Nome:Bothan Spies  |Tasto:C  |Secondi:1.36  |P.ti Domanda:909  |P.ti Totali:909
1/12/2021 7:32:51 PM|Quizzame|ROUND 1|Domanda 2 |ID:5726  |Corretta:A  |Keypad:10 |Nome:Menace to Sobriety  |Tasto:D  |Secondi:3.4  |P.ti Domanda:-3.88  |P.ti Totali:-449
1/12/2021 7:32:53 PM|Quizzame|ROUND 1|Domanda 2 |ID:5726  |Corretta:A  |Keypad:7 |Nome:GHS  |Tasto:B  |Secondi:5.46  |P.ti Domanda:-32  |P.ti Totali:-349
1/12/2021 7:32:54 PM|Quizzame|ROUND 1|Domanda 2 |ID:5726  |Corretta:A  |Keypad:17 |Nome:Bridgeway Boys  |Tasto:D  |Secondi:6.58  |P.ti Domanda:-28.3  |P.ti Totali:-429
1/12/2021 7:32:55 PM|Quizzame|ROUND 1|Domanda 2 |ID:5726  |Corretta:A  |Keypad:5 |Nome:Zero for One  |Tasto:B  |Secondi:7.68  |P.ti Domanda:-123.5  |P.ti Totali:436
1/12/2021 7:32:56 PM|Quizzame|ROUND 1|Domanda 2 |ID:5726  |Corretta:A  |Keypad:15 |Nome:Ale  |Tasto:D  |Secondi:8.85  |P.ti Domanda:-41.6  |P.ti Totali:-256
1/12/2021 7:32:59 PM|Quizzame|ROUND 1|Domanda 2| ID:5726  |Corretta:A  |Keypad:3 |Nome:Deadly Treadlies  |Tasto:A  |Secondi:11.22  |P.ti Domanda:248  |P.ti Totali:-148
1/12/2021 7:32:59 PM|Quizzame|ROUND 1|Domanda 2| ID:5726  |Corretta:A  |Keypad:4 |Nome:Captain Mat  |Tasto:A  |Secondi:11.74  |P.ti Domanda:213  |P.ti Totali:-257
1/12/2021 7:33:00 PM|Quizzame|ROUND 1|Domanda 2 |ID:5726  |Corretta:A  |Keypad:16 |Nome:Thirsty Camels  |Tasto:B  |Secondi:13.15  |P.ti Domanda:-13.2  |P.ti Totali:0
1/12/2021 7:33:01 PM|Quizzame|ROUND 1|Domanda 2 |ID:5726  |Corretta:A  |Keypad:2 |Nome:The ACB  |Tasto:D  |Secondi:13.72  |P.ti Domanda:-9.400001  |P.ti Totali:-346
1/12/2021 7:33:42 PM|Quizzame|ROUND 1|Domanda 3| ID:11987  |Corretta:D  |Keypad:6 |Nome:ETC  |Tasto:D  |Secondi:1.41  |P.ti Domanda:2717  |P.ti Totali:4296
1/12/2021 7:33:43 PM|Quizzame|ROUND 1|Domanda 3| ID:11987  |Corretta:D  |Keypad:15 |Nome:Ale  |Tasto:D  |Secondi:1.66  |P.ti Domanda:2666  |P.ti Totali:2368
1/12/2021 7:33:43 PM|Quizzame|ROUND 1|Domanda 3| ID:11987  |Corretta:D  |Keypad:4 |Nome:Captain Mat  |Tasto:D  |Secondi:1.74  |P.ti Domanda:2650  |P.ti Totali:2393
1/12/2021 7:33:43 PM|Quizzame|ROUND 1|Domanda 3| ID:11987  |Corretta:D  |Keypad:12 |Nome:It'sMyBirthday!  |Tasto:D  |Secondi:2.07  |P.ti Domanda:2584  |P.ti Totali:4213
1/12/2021 7:33:43 PM|Quizzame|ROUND 1|Domanda 3| ID:11987  |Corretta:D  |Keypad:7 |Nome:GHS  |Tasto:D  |Secondi:2.1  |P.ti Domanda:2578  |P.ti Totali:2197
1/12/2021 7:33:43 PM|Quizzame|ROUND 1|Domanda 3| ID:11987  |Corretta:D  |Keypad:5 |Nome:Zero for One  |Tasto:D  |Secondi:2.16  |P.ti Domanda:2566  |P.ti Totali:2878
1/12/2021 7:33:43 PM|Quizzame|ROUND 1|Domanda 3| ID:11987  |Corretta:D  |Keypad:16 |Nome:Thirsty Camels  |Tasto:D  |Secondi:2.12  |P.ti Domanda:2574  |P.ti Totali:2561
1/12/2021 7:33:44 PM|Quizzame|ROUND 1|Domanda 3| ID:11987  |Corretta:D  |Keypad:3 |Nome:Deadly Treadlies  |Tasto:D  |Secondi:3.52  |P.ti Domanda:2292  |P.ti Totali:2144
1/12/2021 7:33:45 PM|Quizzame|ROUND 1|Domanda 3| ID:11987  |Corretta:D  |Keypad:17 |Nome:Bridgeway Boys  |Tasto:D  |Secondi:3.76  |P.ti Domanda:2244  |P.ti Totali:1787
1/12/2021 7:33:53 PM|Quizzame|ROUND 1|Domanda 3| ID:11987  |Corretta:D  |Keypad:2 |Nome:The ACB  |Tasto:D  |Secondi:11.94  |P.ti Domanda:600  |P.ti Totali:245
1/12/2021 7:34:39 PM|Quizzame|ROUND 1|Domanda 4| ID:13013  |Corretta:E  |Keypad:17 |Nome:Bridgeway Boys  |Tasto:E  |Secondi:5.64  |P.ti Domanda:622  |P.ti Totali:2409
1/12/2021 7:34:40 PM|Quizzame|ROUND 1|Domanda 4| ID:13013  |Corretta:E  |Keypad:7 |Nome:GHS  |Tasto:E  |Secondi:6.56  |P.ti Domanda:560  |P.ti Totali:2757
1/12/2021 7:34:43 PM|Quizzame|ROUND 1|Domanda 4| ID:13013  |Corretta:E  |Keypad:15 |Nome:Ale  |Tasto:E  |Secondi:9.61  |P.ti Domanda:356  |P.ti Totali:2724
1/12/2021 7:34:43 PM|Quizzame|ROUND 1|Domanda 4 |ID:13013  |Corretta:E  |Keypad:3 |Nome:Deadly Treadlies  |Tasto:B  |Secondi:10.04  |P.ti Domanda:-16.9  |P.ti Totali:2144
1/12/2021 7:34:45 PM|Quizzame|ROUND 1|Domanda 4| ID:13013  |Corretta:E  |Keypad:16 |Nome:Thirsty Camels  |Tasto:E  |Secondi:12.12  |P.ti Domanda:188  |P.ti Totali:2749
1/12/2021 7:34:46 PM|Quizzame|ROUND 1|Domanda 4| ID:13013  |Corretta:E  |Keypad:10 |Nome:Menace to Sobriety  |Tasto:E  |Secondi:12.6  |P.ti Domanda:156  |P.ti Totali:-297
1/12/2021 7:35:20 PM|Quizzame|ROUND 1|Domanda 5 |ID:3276  |Corretta:C  |Keypad:10 |Nome:Menace to Sobriety  |Tasto:B  |Secondi:1.13  |P.ti Domanda:-4.63  |P.ti Totali:-297
1/12/2021 7:35:20 PM|Quizzame|ROUND 1|Domanda 5 |ID:3276  |Corretta:C  |Keypad:12 |Nome:It'sMyBirthday!  |Tasto:B  |Secondi:0.99  |P.ti Domanda:-233.5  |P.ti Totali:4213
1/12/2021 7:35:20 PM|Quizzame|ROUND 1|Domanda 5 |ID:3276  |Corretta:C  |Keypad:5 |Nome:Zero for One  |Tasto:B  |Secondi:1.89  |P.ti Domanda:-219  |P.ti Totali:2878
1/12/2021 7:35:22 PM|Quizzame|ROUND 1|Domanda 5| ID:3276  |Corretta:C  |Keypad:6 |Nome:ETC  |Tasto:C  |Secondi:2.97  |P.ti Domanda:801  |P.ti Totali:5097
1/12/2021 7:35:23 PM|Quizzame|ROUND 1|Domanda 5 |ID:3276  |Corretta:C  |Keypad:16 |Nome:Thirsty Camels  |Tasto:B  |Secondi:4.62  |P.ti Domanda:-69.6  |P.ti Totali:2749
1/12/2021 7:35:23 PM|Quizzame|ROUND 1|Domanda 5| ID:3276  |Corretta:C  |Keypad:2 |Nome:The ACB  |Tasto:C  |Secondi:4.56  |P.ti Domanda:694  |P.ti Totali:939
1/12/2021 7:35:24 PM|Quizzame|ROUND 1|Domanda 5 |ID:3276  |Corretta:C  |Keypad:3 |Nome:Deadly Treadlies  |Tasto:B  |Secondi:5.27  |P.ti Domanda:-32.6  |P.ti Totali:2127
1/12/2021 7:35:24 PM|Quizzame|ROUND 1|Domanda 5 |ID:3276  |Corretta:C  |Keypad:7 |Nome:GHS  |Tasto:B  |Secondi:5.91  |P.ti Domanda:-61  |P.ti Totali:2757
1/12/2021 7:35:25 PM|Quizzame|ROUND 1|Domanda 5 |ID:3276  |Corretta:C  |Keypad:17 |Nome:Bridgeway Boys  |Tasto:B  |Secondi:6.66  |P.ti Domanda:-28  |P.ti Totali:2409
1/12/2021 7:35:25 PM|Quizzame|ROUND 1|Domanda 5 |ID:3276  |Corretta:C  |Keypad:15 |Nome:Ale  |Tasto:B  |Secondi:6.52  |P.ti Domanda:-57  |P.ti Totali:2724
1/12/2021 7:36:12 PM|Quizzame|ROUND 1|Domanda 6| ID:6823  |Corretta:E  |Keypad:12 |Nome:It'sMyBirthday!  |Tasto:E  |Secondi:1.87  |P.ti Domanda:2624  |P.ti Totali:6604
1/12/2021 7:36:13 PM|Quizzame|ROUND 1|Domanda 6| ID:6823  |Corretta:E  |Keypad:7 |Nome:GHS  |Tasto:E  |Secondi:2.23  |P.ti Domanda:2552  |P.ti Totali:5248
1/12/2021 7:36:13 PM|Quizzame|ROUND 1|Domanda 6| ID:6823  |Corretta:E  |Keypad:6 |Nome:ETC  |Tasto:E  |Secondi:2.03  |P.ti Domanda:2592  |P.ti Totali:7689
1/12/2021 7:36:13 PM|Quizzame|ROUND 1|Domanda 6| ID:6823  |Corretta:E  |Keypad:16 |Nome:Thirsty Camels  |Tasto:E  |Secondi:2.11  |P.ti Domanda:2576  |P.ti Totali:5255
1/12/2021 7:36:13 PM|Quizzame|ROUND 1|Domanda 6| ID:6823  |Corretta:E  |Keypad:10 |Nome:Menace to Sobriety  |Tasto:E  |Secondi:2.21  |P.ti Domanda:2556  |P.ti Totali:2254
1/12/2021 7:36:13 PM|Quizzame|ROUND 1|Domanda 6| ID:6823  |Corretta:E  |Keypad:17 |Nome:Bridgeway Boys  |Tasto:E  |Secondi:2.59  |P.ti Domanda:2479  |P.ti Totali:4860
1/12/2021 7:36:14 PM|Quizzame|ROUND 1|Domanda 6| ID:6823  |Corretta:E  |Keypad:4 |Nome:Captain Mat  |Tasto:E  |Secondi:3.08  |P.ti Domanda:2381  |P.ti Totali:4774
1/12/2021 7:36:14 PM|Quizzame|ROUND 1|Domanda 6| ID:6823  |Corretta:E  |Keypad:5 |Nome:Zero for One  |Tasto:E  |Secondi:3.18  |P.ti Domanda:2361  |P.ti Totali:5020
1/12/2021 7:36:14 PM|Quizzame|ROUND 1|Domanda 6| ID:6823  |Corretta:E  |Keypad:15 |Nome:Ale  |Tasto:E  |Secondi:3.27  |P.ti Domanda:2343  |P.ti Totali:5010
1/12/2021 7:36:16 PM|Quizzame|ROUND 1|Domanda 6| ID:6823  |Corretta:E  |Keypad:3 |Nome:Deadly Treadlies  |Tasto:E  |Secondi:4.88  |P.ti Domanda:2019  |P.ti Totali:4113
1/12/2021 7:36:27 PM|Quizzame|ROUND 1|Domanda 6 |ID:6823  |Corretta:E  |Keypad:2 |Nome:The ACB  |Tasto:A  |Secondi:15.89  |P.ti Domanda:0  |P.ti Totali:939
1/12/2021 7:37:36 PM|Quizzame|ROUND 1|Domanda 7| ID:12966  |Corretta:C  |Keypad:2 |Nome:The ACB  |Tasto:C  |Secondi:1.09  |P.ti Domanda:927  |P.ti Totali:1866
1/12/2021 7:37:36 PM|Quizzame|ROUND 1|Domanda 7| ID:12966  |Corretta:C  |Keypad:15 |Nome:Ale  |Tasto:C  |Secondi:0.99  |P.ti Domanda:934  |P.ti Totali:5944
1/12/2021 7:37:36 PM|Quizzame|ROUND 1|Domanda 7| ID:12966  |Corretta:C  |Keypad:4 |Nome:Captain Mat  |Tasto:C  |Secondi:1.07  |P.ti Domanda:928  |P.ti Totali:5702
1/12/2021 7:37:37 PM|Quizzame|ROUND 1|Domanda 7| ID:12966  |Corretta:C  |Keypad:12 |Nome:It'sMyBirthday!  |Tasto:C  |Secondi:1.66  |P.ti Domanda:889  |P.ti Totali:7493
1/12/2021 7:37:37 PM|Quizzame|ROUND 1|Domanda 7| ID:12966  |Corretta:C  |Keypad:5 |Nome:Zero for One  |Tasto:C  |Secondi:1.84  |P.ti Domanda:877  |P.ti Totali:5897
1/12/2021 7:37:37 PM|Quizzame|ROUND 1|Domanda 7| ID:12966  |Corretta:C  |Keypad:3 |Nome:Deadly Treadlies  |Tasto:C  |Secondi:1.72  |P.ti Domanda:885  |P.ti Totali:4998
1/12/2021 7:37:37 PM|Quizzame|ROUND 1|Domanda 7| ID:12966  |Corretta:C  |Keypad:6 |Nome:ETC  |Tasto:C  |Secondi:2  |P.ti Domanda:866  |P.ti Totali:8555
1/12/2021 7:37:37 PM|Quizzame|ROUND 1|Domanda 7| ID:12966  |Corretta:C  |Keypad:7 |Nome:GHS  |Tasto:C  |Secondi:2.08  |P.ti Domanda:861  |P.ti Totali:6109
1/12/2021 7:37:37 PM|Quizzame|ROUND 1|Domanda 7| ID:12966  |Corretta:C  |Keypad:16 |Nome:Thirsty Camels  |Tasto:C  |Secondi:2.13  |P.ti Domanda:857  |P.ti Totali:6112
1/12/2021 7:37:37 PM|Quizzame|ROUND 1|Domanda 7| ID:12966  |Corretta:C  |Keypad:10 |Nome:Menace to Sobriety  |Tasto:C  |Secondi:2.12  |P.ti Domanda:858  |P.ti Totali:3112
1/12/2021 7:37:43 PM|Quizzame|ROUND 1|Domanda 7| ID:12966  |Corretta:C  |Keypad:17 |Nome:Bridgeway Boys  |Tasto:C  |Secondi:7.15  |P.ti Domanda:521  |P.ti Totali:5381
1/12/2021 7:38:55 PM|Quizzame|ROUND 1|Domanda 8| ID:10504  |Corretta:ECBAD  |Keypad:2 |Nome:The ACB  |Tasti:ECBAD  |Secondi:22.87  |P.ti Domanda:256  |P.ti Totali:2122
1/12/2021 7:38:55 PM|Quizzame|ROUND 1|Domanda 8 |ID:10504  |Corretta:ECBAD  |Keypad:3 |Nome:Deadly Treadlies  |Tasti:EABCD  |Secondi:23.58  |P.ti Domanda:-8.5  |P.ti Totali:4998
1/12/2021 7:38:55 PM|Quizzame|ROUND 1|Domanda 8| ID:10504  |Corretta:ECBAD  |Keypad:4 |Nome:Captain Mat  |Tasti:ECBAD  |Secondi:11.8  |P.ti Domanda:1584  |P.ti Totali:7286
1/12/2021 7:38:55 PM|Quizzame|ROUND 1|Domanda 8| ID:10504  |Corretta:ECBAD  |Keypad:5 |Nome:Zero for One  |Tasti:ECBAD  |Secondi:18.14  |P.ti Domanda:823  |P.ti Totali:6720
1/12/2021 7:38:55 PM|Quizzame|ROUND 1|Domanda 8 |ID:10504  |Corretta:ECBAD  |Keypad:6 |Nome:ETC  |Tasti:EABCD  |Secondi:10.51  |P.ti Domanda:-869  |P.ti Totali:8555
1/12/2021 7:38:55 PM|Quizzame|ROUND 1|Domanda 8| ID:10504  |Corretta:ECBAD  |Keypad:7 |Nome:GHS  |Tasti:ECBAD  |Secondi:9.32  |P.ti Domanda:1882  |P.ti Totali:7991
1/12/2021 7:38:55 PM|Quizzame|ROUND 1|Domanda 8 |ID:10504  |Corretta:ECBAD  |Keypad:10 |Nome:Menace to Sobriety  |Tasti:EBADC  |Secondi:17.07  |P.ti Domanda:-4.76  |P.ti Totali:3112
1/12/2021 7:38:55 PM|Quizzame|ROUND 1|Domanda 8 |ID:10504  |Corretta:ECBAD  |Keypad:12 |Nome:It'sMyBirthday!  |Tasti:EABD  |Secondi:14.16  |P.ti Domanda:-325  |P.ti Totali:7493
1/12/2021 7:38:55 PM|Quizzame|ROUND 1|Domanda 8| ID:10504  |Corretta:ECBAD  |Keypad:15 |Nome:Ale  |Tasti:ECBAD  |Secondi:18.44  |P.ti Domanda:787  |P.ti Totali:6731
1/12/2021 7:38:55 PM|Quizzame|ROUND 1|Domanda 8 |ID:10504  |Corretta:ECBAD  |Keypad:16 |Nome:Thirsty Camels  |Tasti:ECDBA  |Secondi:23.4  |P.ti Domanda:-48  |P.ti Totali:6112
1/12/2021 7:38:55 PM|Quizzame|ROUND 1|Domanda 8 |ID:10504  |Corretta:ECBAD  |Keypad:17 |Nome:Bridgeway Boys  |Tasti:BEABC  |Secondi:20.32  |P.ti Domanda:-28.1  |P.ti Totali:5381
1/12/2021 7:39:27 PM|Quizzame|ROUND 1|Domanda 9| ID:12824  |Corretta:D  |Keypad:15 |Nome:Ale  |Tasto:D  |Secondi:6.31  |P.ti Domanda:577  |P.ti Totali:7308
1/12/2021 7:39:28 PM|Quizzame|ROUND 1|Domanda 9| ID:12824  |Corretta:D  |Keypad:10 |Nome:Menace to Sobriety  |Tasto:D  |Secondi:7.24  |P.ti Domanda:515  |P.ti Totali:3622
1/12/2021 7:39:28 PM|Quizzame|ROUND 1|Domanda 9| ID:12824  |Corretta:D  |Keypad:17 |Nome:Bridgeway Boys  |Tasto:D  |Secondi:7.72  |P.ti Domanda:483  |P.ti Totali:5836
1/12/2021 7:39:29 PM|Quizzame|ROUND 1|Domanda 9| ID:12824  |Corretta:D  |Keypad:12 |Nome:It'sMyBirthday!  |Tasto:D  |Secondi:8.36  |P.ti Domanda:440  |P.ti Totali:7608
1/12/2021 7:39:35 PM|Quizzame|ROUND 1|Domanda 9| ID:12824  |Corretta:D  |Keypad:3 |Nome:Deadly Treadlies  |Tasto:D  |Secondi:13.71  |P.ti Domanda:81  |P.ti Totali:5071
1/12/2021 7:39:35 PM|Quizzame|ROUND 1|Domanda 9| ID:12824  |Corretta:D  |Keypad:16 |Nome:Thirsty Camels  |Tasto:D  |Secondi:13.83  |P.ti Domanda:73  |P.ti Totali:6137
1/12/2021 7:39:36 PM|Quizzame|ROUND 1|Domanda 9 |ID:12824  |Corretta:D  |Keypad:5 |Nome:Zero for One  |Tasto:B  |Secondi:14.91  |P.ti Domanda:-1.6  |P.ti Totali:6720
1/12/2021 7:39:36 PM|Quizzame|ROUND 1|Domanda 9 |ID:12824  |Corretta:D  |Keypad:2 |Nome:The ACB  |Tasto:D  |Secondi:15.24  |P.ti Domanda:0  |P.ti Totali:2122
1/12/2021 7:40:30 PM|Quizzame|ROUND 1|Domanda 10| ID:15479  |Corretta:D  |Keypad:6 |Nome:ETC  |Tasto:D  |Secondi:1.44  |P.ti Domanda:2711  |P.ti Totali:10397
1/12/2021 7:40:30 PM|Quizzame|ROUND 1|Domanda 10| ID:15479  |Corretta:D  |Keypad:16 |Nome:Thirsty Camels  |Tasto:D  |Secondi:1.79  |P.ti Domanda:2640  |P.ti Totali:8777
1/12/2021 7:40:30 PM|Quizzame|ROUND 1|Domanda 10| ID:15479  |Corretta:D  |Keypad:4 |Nome:Captain Mat  |Tasto:D  |Secondi:1.94  |P.ti Domanda:2610  |P.ti Totali:9896
1/12/2021 7:40:30 PM|Quizzame|ROUND 1|Domanda 10| ID:15479  |Corretta:D  |Keypad:12 |Nome:It'sMyBirthday!  |Tasto:D  |Secondi:2.32  |P.ti Domanda:2534  |P.ti Totali:10142
1/12/2021 7:40:30 PM|Quizzame|ROUND 1|Domanda 10| ID:15479  |Corretta:D  |Keypad:10 |Nome:Menace to Sobriety  |Tasto:D  |Secondi:2.04  |P.ti Domanda:2590  |P.ti Totali:6212
1/12/2021 7:40:30 PM|Quizzame|ROUND 1|Domanda 10| ID:15479  |Corretta:D  |Keypad:15 |Nome:Ale  |Tasto:D  |Secondi:2.11  |P.ti Domanda:2576  |P.ti Totali:9884
1/12/2021 7:40:30 PM|Quizzame|ROUND 1|Domanda 10| ID:15479  |Corretta:D  |Keypad:7 |Nome:GHS  |Tasto:D  |Secondi:2.13  |P.ti Domanda:2572  |P.ti Totali:10563
1/12/2021 7:40:31 PM|Quizzame|ROUND 1|Domanda 10| ID:15479  |Corretta:D  |Keypad:3 |Nome:Deadly Treadlies  |Tasto:D  |Secondi:2.48  |P.ti Domanda:2502  |P.ti Totali:7573
1/12/2021 7:40:31 PM|Quizzame|ROUND 1|Domanda 10| ID:15479  |Corretta:D  |Keypad:17 |Nome:Bridgeway Boys  |Tasto:D  |Secondi:3.15  |P.ti Domanda:2367  |P.ti Totali:8203
1/12/2021 7:40:40 PM|Quizzame|ROUND 1|Domanda 10 |ID:15479  |Corretta:D  |Keypad:2 |Nome:The ACB  |Tasto:C  |Secondi:11.77  |P.ti Domanda:-3.35  |P.ti Totali:2122
1/12/2021 7:40:41 PM|Quizzame|ROUND 1|Domanda 10 |ID:15479  |Corretta:D  |Keypad:5 |Nome:Zero for One  |Tasto:B  |Secondi:12.88  |P.ti Domanda:-45  |P.ti Totali:6718
1/12/2021 7:41:34 PM|Quizzame|ROUND 1|Domanda 11 |ID:17226  |Corretta:D  |Keypad:12 |Nome:It'sMyBirthday!  |Tasto:C  |Secondi:1.18  |P.ti Domanda:-230.5  |P.ti Totali:10142
1/12/2021 7:41:36 PM|Quizzame|ROUND 1|Domanda 11 |ID:17226  |Corretta:D  |Keypad:5 |Nome:Zero for One  |Tasto:A  |Secondi:3.2  |P.ti Domanda:-39.4  |P.ti Totali:6673
1/12/2021 7:41:36 PM|Quizzame|ROUND 1|Domanda 11 |ID:17226  |Corretta:D  |Keypad:17 |Nome:Bridgeway Boys  |Tasto:A  |Secondi:3.55  |P.ti Domanda:-38.3  |P.ti Totali:8203
1/12/2021 7:41:38 PM|Quizzame|ROUND 1|Domanda 11 |ID:17226  |Corretta:D  |Keypad:15 |Nome:Ale  |Tasto:A  |Secondi:5.62  |P.ti Domanda:-63  |P.ti Totali:9884
1/12/2021 7:41:38 PM|Quizzame|ROUND 1|Domanda 11 |ID:17226  |Corretta:D  |Keypad:10 |Nome:Menace to Sobriety  |Tasto:A  |Secondi:5.46  |P.ti Domanda:-3.2  |P.ti Totali:6212
1/12/2021 7:41:38 PM|Quizzame|ROUND 1|Domanda 11 |ID:17226  |Corretta:D  |Keypad:4 |Nome:Captain Mat  |Tasto:A  |Secondi:5.41  |P.ti Domanda:-64.2  |P.ti Totali:9896
1/12/2021 7:41:39 PM|Quizzame|ROUND 1|Domanda 11| ID:17226  |Corretta:D  |Keypad:7 |Nome:GHS  |Tasto:D  |Secondi:6.27  |P.ti Domanda:580  |P.ti Totali:11143
1/12/2021 7:41:42 PM|Quizzame|ROUND 1|Domanda 11 |ID:17226  |Corretta:D  |Keypad:16 |Nome:Thirsty Camels  |Tasto:A  |Secondi:9.03  |P.ti Domanda:-40.4  |P.ti Totali:8777
1/12/2021 7:41:45 PM|Quizzame|ROUND 1|Domanda 11 |ID:17226  |Corretta:D  |Keypad:2 |Nome:The ACB  |Tasto:B  |Secondi:12.2  |P.ti Domanda:-0.97  |P.ti Totali:2119
1/12/2021 7:41:47 PM|Quizzame|ROUND 1|Domanda 11 |ID:17226  |Corretta:D  |Keypad:6 |Nome:ETC  |Tasto:A  |Secondi:14.11  |P.ti Domanda:-17  |P.ti Totali:10397
1/12/2021 7:41:49 PM|Quizzame|ROUND 1|Domanda 11 |ID:17226  |Corretta:D  |Keypad:3 |Nome:Deadly Treadlies  |Tasto:A  |Secondi:16.06  |P.ti Domanda:0  |P.ti Totali:7573
1/12/2021 7:42:39 PM|Quizzame|ROUND 1|Domanda 12| ID:6720  |Corretta:C  |Keypad:6 |Nome:ETC  |Tasto:C  |Secondi:1.48  |P.ti Domanda:901  |P.ti Totali:11281
1/12/2021 7:42:40 PM|Quizzame|ROUND 1|Domanda 12| ID:6720  |Corretta:C  |Keypad:5 |Nome:Zero for One  |Tasto:C  |Secondi:2.18  |P.ti Domanda:854  |P.ti Totali:7488
1/12/2021 7:42:41 PM|Quizzame|ROUND 1|Domanda 12| ID:6720  |Corretta:C  |Keypad:4 |Nome:Captain Mat  |Tasto:C  |Secondi:3.25  |P.ti Domanda:782  |P.ti Totali:10614
1/12/2021 7:42:43 PM|Quizzame|ROUND 1|Domanda 12| ID:6720  |Corretta:C  |Keypad:10 |Nome:Menace to Sobriety  |Tasto:C  |Secondi:5.36  |P.ti Domanda:641  |P.ti Totali:6850
1/12/2021 7:42:49 PM|Quizzame|ROUND 1|Domanda 12| ID:6720  |Corretta:C  |Keypad:15 |Nome:Ale  |Tasto:C  |Secondi:10.86  |P.ti Domanda:272  |P.ti Totali:10093
1/12/2021 7:42:49 PM|Quizzame|ROUND 1|Domanda 12 |ID:6720  |Corretta:C  |Keypad:17 |Nome:Bridgeway Boys  |Tasto:B  |Secondi:11.34  |P.ti Domanda:-12.6  |P.ti Totali:8165
1/12/2021 7:42:49 PM|Quizzame|ROUND 1|Domanda 12 |ID:6720  |Corretta:C  |Keypad:12 |Nome:It'sMyBirthday!  |Tasto:E  |Secondi:11.37  |P.ti Domanda:-62.5  |P.ti Totali:9912
1/12/2021 7:42:53 PM|Quizzame|ROUND 1|Domanda 12 |ID:6720  |Corretta:C  |Keypad:3 |Nome:Deadly Treadlies  |Tasto:E  |Secondi:14.84  |P.ti Domanda:-1  |P.ti Totali:7573
1/12/2021 7:42:53 PM|Quizzame|ROUND 1|Domanda 12 |ID:6720  |Corretta:C  |Keypad:2 |Nome:The ACB  |Tasto:E  |Secondi:14.92  |P.ti Domanda:-0.08  |P.ti Totali:2118
1/12/2021 7:42:54 PM|Quizzame|ROUND 1|Domanda 12 |ID:6720  |Corretta:C  |Keypad:16 |Nome:Thirsty Camels  |Tasto:A  |Secondi:16.1  |P.ti Domanda:0  |P.ti Totali:8737
1/12/2021 7:51:38 PM|NTTX|NTTX - Pack 83 - With Video|Domanda 1| ID:781  |Corretta:B  |Keypad:12 |Nome:It'sMyBirthday!  |Tasto:B  |Secondi:1.14  |P.ti Domanda:1715  |P.ti Totali:1715
1/12/2021 7:51:39 PM|NTTX|NTTX - Pack 83 - With Video|Domanda 1| ID:781  |Corretta:B  |Keypad:6 |Nome:ETC  |Tasto:B  |Secondi:1.39  |P.ti Domanda:1653  |P.ti Totali:1653
1/12/2021 7:51:43 PM|NTTX|NTTX - Pack 83 - With Video|Domanda 1| ID:781  |Corretta:B  |Keypad:4 |Nome:Captain Mat  |Tasto:B  |Secondi:6.2  |P.ti Domanda:450  |P.ti Totali:450
1/12/2021 7:51:44 PM|NTTX|NTTX - Pack 83 - With Video|Domanda 1 |ID:781  |Corretta:B  |Keypad:10 |Nome:Menace to Sobriety  |Tasto:D  |Secondi:6.59  |P.ti Domanda:-183  |P.ti Totali:0
1/12/2021 7:51:44 PM|NTTX|NTTX - Pack 83 - With Video|Domanda 1 |ID:781  |Corretta:B  |Keypad:15 |Nome:Ale  |Tasto:C  |Secondi:6.53  |P.ti Domanda:-190  |P.ti Totali:0
1/12/2021 7:51:44 PM|NTTX|NTTX - Pack 83 - With Video|Domanda 1 |ID:781  |Corretta:B  |Keypad:5 |Nome:Zero for One  |Tasto:C  |Secondi:6.99  |P.ti Domanda:-133  |P.ti Totali:0
1/12/2021 7:51:44 PM|NTTX|NTTX - Pack 83 - With Video|Domanda 1 |ID:781  |Corretta:B  |Keypad:17 |Nome:Bridgeway Boys  |Tasto:C  |Secondi:6.97  |P.ti Domanda:-136  |P.ti Totali:0
1/12/2021 7:51:45 PM|NTTX|NTTX - Pack 83 - With Video|Domanda 1| ID:781  |Corretta:B  |Keypad:7 |Nome:GHS  |Tasto:B  |Secondi:7.53  |P.ti Domanda:117  |P.ti Totali:117
1/12/2021 7:51:45 PM|NTTX|NTTX - Pack 83 - With Video|Domanda 1| ID:781  |Corretta:B  |Keypad:3 |Nome:Deadly Treadlies  |Tasto:B  |Secondi:7.94  |P.ti Domanda:15  |P.ti Totali:15
1/12/2021 7:51:46 PM|NTTX|NTTX - Pack 83 - With Video|Domanda 1 |ID:781  |Corretta:B  |Keypad:16 |Nome:Thirsty Camels  |Tasto:C  |Secondi:8.7  |P.ti Domanda:0  |P.ti Totali:0
1/12/2021 7:52:47 PM|NTTX|NTTX - Pack 83 - With Video|Domanda 2| ID:782  |Corretta:A  |Keypad:6 |Nome:ETC  |Tasto:A  |Secondi:1.04  |P.ti Domanda:1740  |P.ti Totali:3393
1/12/2021 7:52:47 PM|NTTX|NTTX - Pack 83 - With Video|Domanda 2| ID:782  |Corretta:A  |Keypad:7 |Nome:GHS  |Tasto:A  |Secondi:0.94  |P.ti Domanda:1765  |P.ti Totali:1882
